ICD_CODE,LONG_DESCRIPTION,MACSS_GROUP
A15.0,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture",TUBERCULOSIS
A15.1,"Tuberculosis of lung, confirmed by culture only",TUBERCULOSIS
A15.2,"Tuberculosis of lung, confirmed histologically",TUBERCULOSIS
A15.3,"Tuberculosis of lung, confirmed by unspecified means",TUBERCULOSIS
A15.4,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically",TUBERCULOSIS
A15.5,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically",TUBERCULOSIS
A15.6,"Tuberculous pleurisy, confirmed bacteriologically and histologically",TUBERCULOSIS
A15.7,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically",TUBERCULOSIS
A15.8,"Other respiratory tuberculosis, confirmed bacteriologically and histologically",TUBERCULOSIS
A15.9,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically",TUBERCULOSIS
A16.0,"Tuberculosis of lung, bacteriologically and histologically negative",TUBERCULOSIS
A16.1,"Tuberculosis of lung, bacteriological and histological examination not done",TUBERCULOSIS
A16.2,"Tuberculosis of lung, without mention of bacteriological or histological confirmation",TUBERCULOSIS
A16.3,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation",TUBERCULOSIS
A16.4,"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation",TUBERCULOSIS
A16.5,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation",TUBERCULOSIS
A16.7,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation,TUBERCULOSIS
A16.8,"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation",TUBERCULOSIS
A16.9,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation",TUBERCULOSIS
A17.0,Tuberculous meningitis,TUBERCULOSIS
A17.1,Meningeal tuberculoma,TUBERCULOSIS
A17.8,Other tuberculosis of nervous system,TUBERCULOSIS
A17.9,"Tuberculosis of nervous system, unspecified",TUBERCULOSIS
A18.0,Tuberculosis of bones and joints,TUBERCULOSIS
A18.1,Tuberculosis of genitourinary system,TUBERCULOSIS
A18.2,Tuberculous peripheral lymphadenopathy,TUBERCULOSIS
A18.3,"Tuberculosis of intestines, peritoneum and mesenteric glands",TUBERCULOSIS
A18.4,Tuberculosis of skin and subcutaneous tissue,TUBERCULOSIS
A18.5,Tuberculosis of eye,TUBERCULOSIS
A18.6,Tuberculosis of ear,TUBERCULOSIS
A18.7,Tuberculosis of adrenal glands,TUBERCULOSIS
A18.8,Tuberculosis of other specified organs,TUBERCULOSIS
A19.0,Acute miliary tuberculosis of a single specified site,TUBERCULOSIS
A19.1,Acute miliary tuberculosis of multiple sites,TUBERCULOSIS
A19.2,"Acute miliary tuberculosis, unspecified",TUBERCULOSIS
A19.8,Other miliary tuberculosis,TUBERCULOSIS
A19.9,"Miliary tuberculosis, unspecified",TUBERCULOSIS
B90.0,Sequelae of central nervous system tuberculosis,TUBERCULOSIS
B90.1,Sequelae of genitourinary tuberculosis,TUBERCULOSIS
B90.2,Sequelae of tuberculosis of bones and joints,TUBERCULOSIS
B90.8,Sequelae of tuberculosis of other organs,TUBERCULOSIS
B90.9,Sequelae of respiratory and unspecified tuberculosis,TUBERCULOSIS
K23.0,Tuberculous oesophagitis (A18.8+),TUBERCULOSIS
K93.0,"Tuberculous disorders of intestines, peritoneum and mesenteric glands (A18.3+)",TUBERCULOSIS
N33.0,Tuberculous cystitis (A18.1+),TUBERCULOSIS
N74.0,Tuberculous infection of cervix uteri (A18.1+),TUBERCULOSIS
N74.1,Female tuberculous pelvic inflammatory disease (A18.1+),TUBERCULOSIS
Z86.11,Personal history of tuberculosis,TUBERCULOSIS
A02.1,Sepsis due to Salmonella,SEPTICEMIA
A22.7,Sepsis due to anthrax,SEPTICEMIA
A26.7,Sepsis due to Erysipelothrix [erysipeloid] [rhusiopathiae],SEPTICEMIA
A32.7,Sepsis due to Listeria [monocytogenes],SEPTICEMIA
A40.,Sepsis due to Streptococcus and Enterococcus,SEPTICEMIA
A40.0,"Sepsis due to Streptococcus, group A",SEPTICEMIA
A40.1,"Sepsis due to Streptococcus, group B",SEPTICEMIA
A40.2,"Sepsis due to Streptococcus, group D and Enterococcus",SEPTICEMIA
A40.3,Sepsis due to Streptococcus pneumoniae,SEPTICEMIA
A40.8,Other streptococcal sepsis,SEPTICEMIA
A40.9,"Streptococcal sepsis, unspecified",SEPTICEMIA
A41.,Other and unspecified sepsis,SEPTICEMIA
A41.0,Sepsis due to Staphylococcus aureus,SEPTICEMIA
A41.1,Sepsis due to other specified Staphylococcus,SEPTICEMIA
A41.2,Sepsis due to unspecified Staphylococcus,SEPTICEMIA
A41.3,Sepsis due to Haemophilus influenzae,SEPTICEMIA
A41.4,Sepsis due to anaerobes,SEPTICEMIA
A41.5,Sepsis due to other and unspecified Gram-negative organisms,SEPTICEMIA
A41.50,Sepsis due to unspecified Gram-negative organisms,SEPTICEMIA
A41.51,Sepsis due to Escherichia coli [E. Coli],SEPTICEMIA
A41.52,Sepsis due to Pseudomonas,SEPTICEMIA
A41.58,Sepsis due to other Gram-negative organisms,SEPTICEMIA
A41.8,Sepsis due to other specified organism,SEPTICEMIA
A41.9,"Sepsis, unspecified",SEPTICEMIA
A42.7,Sepsis due to actinomycosis,SEPTICEMIA
A49.0,"Staphylococcal infection, unspecified site",OTHER_BACTERIAL_INFECTIONS
A49.1,"Streptococcal and enterococcal infection, unspecified site",OTHER_BACTERIAL_INFECTIONS
A49.2,"Haemophilus influenzae infection, unspecified site",OTHER_BACTERIAL_INFECTIONS
A49.3,"Mycoplasma infection, unspecified site",OTHER_BACTERIAL_INFECTIONS
A49.8,Other bacterial infections of unspecified site,OTHER_BACTERIAL_INFECTIONS
A49.9,"Bacterial infection, unspecified",OTHER_BACTERIAL_INFECTIONS
B95.0,"Streptococcus, group A, as the cause of diseases classified to other chapters",OTHER_BACTERIAL_INFECTIONS
B95.1,"Streptococcus, group B, as the cause of diseases classified to other chapters",OTHER_BACTERIAL_INFECTIONS
B95.2,"Streptococcus, group D and Enterococcus, as the cause of diseases classified to other chapters",OTHER_BACTERIAL_INFECTIONS
B95.3,Streptococcus pneumoniae as the cause of diseases classified to other chapters,OTHER_BACTERIAL_INFECTIONS
B95.41,"Streptococcus, group C, as the cause of diseases classified to other chapters",OTHER_BACTERIAL_INFECTIONS
B95.42,"Streptococcus, group G, as the cause of diseases classified to other chapters",OTHER_BACTERIAL_INFECTIONS
B95.48,"Streptococcus, other specified group, as the cause of diseases classified to other chapters",OTHER_BACTERIAL_INFECTIONS
B95.5,Unspecified Streptococcus as the cause of diseases classified to other chapters,OTHER_BACTERIAL_INFECTIONS
B95.6,Staphylococcus aureus as the cause of diseases classified to other chapters,OTHER_BACTERIAL_INFECTIONS
B95.7,Other Staphylococcus as the cause of diseases classified to other chapters,OTHER_BACTERIAL_INFECTIONS
B95.8,Unspecified Staphylococcus as the cause of diseases classified to other chapters,OTHER_BACTERIAL_INFECTIONS
B96.0,Mycoplasma pneumoniae [M. pneumoniae] as the cause of diseases classified to other chapters,OTHER_BACTERIAL_INFECTIONS
B96.1,Klebsiella pneumoniae [K. pneumoniae] as the cause of diseases classified to other chapters,OTHER_BACTERIAL_INFECTIONS
B96.2,Escherichia coli [E. coli] as the cause of diseases classified to other chapters,OTHER_BACTERIAL_INFECTIONS
B96.3,Haemophilus influenzae [H. influenzae] as the cause of diseases classified to other chapters,OTHER_BACTERIAL_INFECTIONS
B96.31,"Haemophilus influenzae [H. influenzae] type B, as the cause of diseases classified to other chapters",OTHER_BACTERIAL_INFECTIONS
B96.38,"Haemophilus influenzae [H. influenzae] other specified type, as the cause of diseases classified to other chapters",OTHER_BACTERIAL_INFECTIONS
B96.39,"Haemophilus influenzae [H. influenzae] type not specified, as the cause of diseases classified to other chapters",OTHER_BACTERIAL_INFECTIONS
B96.4,"Proteus, Morganella and Providencia as the cause of diseases classified to other chapters",OTHER_BACTERIAL_INFECTIONS
B96.5,Pseudomonas (aeruginosa) as the cause of diseases classified to other chapters,OTHER_BACTERIAL_INFECTIONS
B96.6,Bacteroides (fragilis) as the cause of diseases classified to other chapters,OTHER_BACTERIAL_INFECTIONS
B96.7,Clostridium perfringens [C. perfringens] as the cause of diseases classified to other chapters,OTHER_BACTERIAL_INFECTIONS
B96.81,Helicobacter pylori [H. pylori] as the cause of diseases classified to other chapters,OTHER_BACTERIAL_INFECTIONS
B96.88,Other and unspecified bacterial agents as the cause of diseases classified to other chapters,OTHER_BACTERIAL_INFECTIONS
B20.,Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases,HIV_AIDS
B21.,Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms,HIV_AIDS
B22.,Human immunodeficiency virus [HIV] disease resulting in other specified diseases,HIV_AIDS
B23.0,Acute HIV infection syndrome,HIV_AIDS
B23.8,HIV disease resulting in other specified conditions,HIV_AIDS
B24.,Unspecified human immunodeficiency virus [HIV] disease,HIV_AIDS
R75.,Laboratory evidence of human immunodeficiency virus [HIV],HIV_AIDS
B37.0,Candidal stomatitis,CANDIDIASIS
B37.1,Pulmonary candidiasis,CANDIDIASIS
B37.2,Candidiasis of skin and nail,CANDIDIASIS
B37.3,Candidiasis of vulva and vagina (N77.1*),CANDIDIASIS
B37.4,Candidiasis of other urogenital sites,CANDIDIASIS
B37.5,Candidal meningitis,CANDIDIASIS
B37.6,Candidal endocarditis,CANDIDIASIS
B37.7,Sepsis due to Candida,CANDIDIASIS
B37.81,Candidal oesophagitis,CANDIDIASIS
B37.88,Candidiasis of other sites,CANDIDIASIS
B37.9,"Candidiasis, unspecified site",CANDIDIASIS
B38.0,Acute pulmonary coccidioidomycosis,SYSTEMIC_MYCOSIS
B38.1,Chronic pulmonary coccidioidomycosis,SYSTEMIC_MYCOSIS
B38.2,"Pulmonary coccidioidomycosis, unspecified",SYSTEMIC_MYCOSIS
B38.3,Cutaneous coccidioidomycosis,SYSTEMIC_MYCOSIS
B38.4,Coccidioidomycosis meningitis,SYSTEMIC_MYCOSIS
B38.7,Disseminated coccidioidomycosis,SYSTEMIC_MYCOSIS
B38.8,Other forms of coccidioidomycosis,SYSTEMIC_MYCOSIS
B38.9,"Coccidioidomycosis, unspecified",SYSTEMIC_MYCOSIS
B39.0,Acute pulmonary histoplasmosis capsulati,SYSTEMIC_MYCOSIS
B39.1,Chronic pulmonary histoplasmosis capsulati,SYSTEMIC_MYCOSIS
B39.2,"Pulmonary histoplasmosis capsulati, unspecified",SYSTEMIC_MYCOSIS
B39.3,Disseminated histoplasmosis capsulati,SYSTEMIC_MYCOSIS
B39.4,"Histoplasmosis capsulati, unspecified",SYSTEMIC_MYCOSIS
B39.5,Histoplasmosis duboisii,SYSTEMIC_MYCOSIS
B39.9,"Histoplasmosis, unspecified",SYSTEMIC_MYCOSIS
B40.0,Acute pulmonary blastomycosis,SYSTEMIC_MYCOSIS
B40.1,Chronic pulmonary blastomycosis,SYSTEMIC_MYCOSIS
B40.2,"Pulmonary blastomycosis, unspecified",SYSTEMIC_MYCOSIS
B40.3,Cutaneous blastomycosis,SYSTEMIC_MYCOSIS
B40.7,Disseminated blastomycosis,SYSTEMIC_MYCOSIS
B40.8,Other forms of blastomycosis,SYSTEMIC_MYCOSIS
B40.9,"Blastomycosis, unspecified",SYSTEMIC_MYCOSIS
B41.0,Pulmonary paracoccidioidomycosis,SYSTEMIC_MYCOSIS
B41.7,Disseminated paracoccidioidomycosis,SYSTEMIC_MYCOSIS
B41.8,Other forms of paracoccidioidomycosis,SYSTEMIC_MYCOSIS
B41.9,"Paracoccidioidomycosis, unspecified",SYSTEMIC_MYCOSIS
B42.0,Pulmonary sporotrichosis,SYSTEMIC_MYCOSIS
B42.1,Lymphocutaneous sporotrichosis,SYSTEMIC_MYCOSIS
B42.7,Disseminated sporotrichosis,SYSTEMIC_MYCOSIS
B42.8,Other forms of sporotrichosis,SYSTEMIC_MYCOSIS
B42.9,"Sporotrichosis, unspecified",SYSTEMIC_MYCOSIS
B43.0,Cutaneous chromomycosis,SYSTEMIC_MYCOSIS
B43.1,Phaeomycotic brain abscess,SYSTEMIC_MYCOSIS
B43.2,Subcutaneous phaeomycotic abscess and cyst,SYSTEMIC_MYCOSIS
B43.8,Other forms of chromomycosis,SYSTEMIC_MYCOSIS
B43.9,"Chromomycosis, unspecified",SYSTEMIC_MYCOSIS
B44.0,Invasive pulmonary aspergillosis,SYSTEMIC_MYCOSIS
B44.1,Other pulmonary aspergillosis,SYSTEMIC_MYCOSIS
B44.2,Tonsillar aspergillosis,SYSTEMIC_MYCOSIS
B44.7,Disseminated aspergillosis,SYSTEMIC_MYCOSIS
B44.8,Other forms of aspergillosis,SYSTEMIC_MYCOSIS
B44.9,"Aspergillosis, unspecified",SYSTEMIC_MYCOSIS
B45.0,Pulmonary cryptococcosis,SYSTEMIC_MYCOSIS
B45.1,Cerebral cryptococcosis,SYSTEMIC_MYCOSIS
B45.2,Cutaneous cryptococcosis,SYSTEMIC_MYCOSIS
B45.3,Osseous cryptococcosis,SYSTEMIC_MYCOSIS
B45.7,Disseminated cryptococcosis,SYSTEMIC_MYCOSIS
B45.8,Other forms of cryptococcosis,SYSTEMIC_MYCOSIS
B45.9,"Cryptococcosis, unspecified",SYSTEMIC_MYCOSIS
B46.0,Pulmonary mucormycosis,SYSTEMIC_MYCOSIS
B46.1,Rhinocerebral mucormycosis,SYSTEMIC_MYCOSIS
B46.2,Gastrointestinal mucormycosis,SYSTEMIC_MYCOSIS
B46.3,Cutaneous mucormycosis,SYSTEMIC_MYCOSIS
B46.4,Disseminated mucormycosis,SYSTEMIC_MYCOSIS
B46.5,"Mucormycosis, unspecified",SYSTEMIC_MYCOSIS
B46.8,Other zygomycoses,SYSTEMIC_MYCOSIS
B46.9,"Zygomycosis, unspecified",SYSTEMIC_MYCOSIS
B47.0,Eumycetoma,SYSTEMIC_MYCOSIS
B47.1,Actinomycetoma,SYSTEMIC_MYCOSIS
B47.9,"Mycetoma, unspecified",SYSTEMIC_MYCOSIS
B48.0,Lobomycosis,SYSTEMIC_MYCOSIS
B48.1,Rhinosporidiosis,SYSTEMIC_MYCOSIS
B48.2,Allescheriasis,SYSTEMIC_MYCOSIS
B48.3,Geotrichosis,SYSTEMIC_MYCOSIS
B48.4,Penicilliosis,SYSTEMIC_MYCOSIS
B48.7,Opportunistic mycoses,SYSTEMIC_MYCOSIS
B48.8,Other specified mycoses,SYSTEMIC_MYCOSIS
B49.,Unspecified mycosis,SYSTEMIC_MYCOSIS
