ICD_CODE,LONG_DESCRIPTION,CHARLSON_GROUP
B18.0,Chronic viral hepatitis B with delta-agent,MILD_LIVER_DISEASE
B18.1,Chronic viral hepatitis B without delta-agent,MILD_LIVER_DISEASE
B18.2,Chronic viral hepatitis C,MILD_LIVER_DISEASE
B18.8,Other chronic viral hepatitis,MILD_LIVER_DISEASE
B18.9,"Chronic viral hepatitis, unspecified",MILD_LIVER_DISEASE
B20.,Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases,AIDS_HIV
B21.,Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms,AIDS_HIV
B22.,Human immunodeficiency virus [HIV] disease resulting in other specified diseases,AIDS_HIV
B24.,Unspecified human immunodeficiency virus [HIV] disease,AIDS_HIV
C00.0,Malignant neoplasm of external upper lip,CANCER
C00.1,Malignant neoplasm of external lower lip,CANCER
C00.2,"Malignant neoplasm of external lip, unspecified",CANCER
C00.3,"Malignant neoplasm of upper lip, inner aspect",CANCER
C00.4,"Malignant neoplasm of lower lip, inner aspect",CANCER
C00.5,"Malignant neoplasm of lip, unspecified, inner aspect",CANCER
C00.6,Malignant neoplasm of commissure of lip,CANCER
C00.8,Overlapping malignant lesion of lip,CANCER
C00.9,"Malignant neoplasm of lip, unspecified",CANCER
C01.,Malignant neoplasm of base of tongue,CANCER
C02.0,Malignant neoplasm of dorsal surface of tongue,CANCER
C02.1,Malignant neoplasm of border of tongue,CANCER
C02.2,Malignant neoplasm of ventral surface of tongue,CANCER
C02.3,"Malignant neoplasm of anterior two-thirds of tongue, part unspecified",CANCER
C02.4,Malignant neoplasm of lingual tonsil,CANCER
C02.8,Malignant neoplasm of overlapping lesion of tongue,CANCER
C02.9,"Malignant neoplasm of tongue, unspecified",CANCER
C03.0,Malignant neoplasm of upper gum,CANCER
C03.1,Malignant neoplasm of lower gum,CANCER
C03.9,"Malignant neoplasm of gum, unspecified",CANCER
C04.0,Malignant neoplasm of anterior floor of mouth,CANCER
C04.1,Malignant neoplasm of lateral floor of mouth,CANCER
C04.8,Overlapping malignant lesion of floor of mouth,CANCER
C04.9,"Malignant neoplasm of floor of mouth, unspecified",CANCER
C05.0,Malignant neoplasm of hard palate,CANCER
C05.1,Malignant neoplasm of soft palate,CANCER
C05.2,Malignant neoplasm of uvula,CANCER
C05.8,Overlapping malignant lesion of palate,CANCER
C05.9,"Malignant neoplasm of palate, unspecified",CANCER
C06.0,Malignant neoplasm of cheek mucosa,CANCER
C06.1,Malignant neoplasm of vestibule of mouth,CANCER
C06.2,Malignant neoplasm of retromolar area,CANCER
C06.8,Overlapping malignant lesion of other and unspecified parts of mouth,CANCER
C06.9,"Malignant neoplasm of mouth, unspecified",CANCER
C07.,Malignant neoplasm of parotid gland,CANCER
C08.0,Malignant neoplasm of submandibular gland,CANCER
C08.1,Malignant neoplasm of sublingual gland,CANCER
C08.8,Overlapping malignant lesion of major salivary glands,CANCER
C08.9,"Malignant neoplasm of major salivary gland, unspecified",CANCER
C09.0,Malignant neoplasm of tonsillar fossa,CANCER
C09.1,Malignant neoplasm of tonsillar pillar (anterior)(posterior),CANCER
C09.8,Overlapping malignant lesion of tonsil,CANCER
C09.9,"Malignant neoplasm of tonsil, unspecified",CANCER
C10.0,Malignant neoplasm of vallecula,CANCER
C10.1,Malignant neoplasm of anterior surface of epiglottis,CANCER
C10.2,Malignant neoplasm of lateral wall of oropharynx,CANCER
C10.3,Malignant neoplasm of posterior wall of oropharynx,CANCER
C10.4,Malignant neoplasm of branchial cleft,CANCER
C10.8,Overlapping malignant lesion of oropharynx,CANCER
C10.9,"Malignant neoplasm of oropharynx, unspecified",CANCER
C11.0,Malignant neoplasm of superior wall of nasopharynx,CANCER
C11.1,Malignant neoplasm of posterior wall of nasopharynx,CANCER
C11.2,Malignant neoplasm of lateral wall of nasopharynx,CANCER
C11.3,Malignant neoplasm of anterior wall of nasopharynx,CANCER
C11.8,Overlapping malignant lesion of nasopharynx,CANCER
C11.9,"Malignant neoplasm of nasopharynx, unspecified",CANCER
C12.,Malignant neoplasm of pyriform sinus,CANCER
C13.0,Malignant neoplasm of postcricoid region,CANCER
C13.1,"Malignant neoplasm of aryepiglottic fold, hypopharyngeal aspect",CANCER
C13.2,Malignant neoplasm of posterior wall of hypopharynx,CANCER
C13.8,Overlapping malignant lesion of hypopharynx,CANCER
C13.9,"Malignant neoplasm of hypopharynx, unspecified",CANCER
C14.0,"Malignant neoplasm of pharynx, unspecified",CANCER
C14.2,Malignant neoplasm of Waldeyer ring,CANCER
C14.8,"Overlapping malignant lesion of lip, oral cavity and pharynx",CANCER
C15.0,Malignant neoplasm of cervical part of oesophagus,CANCER
C15.1,Malignant neoplasm of thoracic part of oesophagus,CANCER
C15.2,Malignant neoplasm of abdominal part of oesophagus,CANCER
C15.3,Malignant neoplasm of upper third of oesophagus,CANCER
C15.4,Malignant neoplasm of middle third of oesophagus,CANCER
C15.5,Malignant neoplasm of lower third of oesophagus,CANCER
C15.8,Overlapping malignant lesion of oesophagus,CANCER
C15.9,"Malignant neoplasm of oesophagus, unspecified",CANCER
C16.0,Malignant neoplasm of cardia,CANCER
C16.1,Malignant neoplasm of fundus of stomach,CANCER
C16.2,Malignant neoplasm of body of stomach,CANCER
C16.3,Malignant neoplasm of pyloric antrum,CANCER
C16.4,Malignant neoplasm of pylorus,CANCER
C16.5,"Malignant neoplasm of lesser curvature of stomach, unspecified",CANCER
C16.6,"Malignant neoplasm of greater curvature of stomach, unspecified",CANCER
C16.8,Overlapping malignant lesion of stomach,CANCER
C16.9,"Malignant neoplasm of stomach, unspecified",CANCER
C17.0,Malignant neoplasm of duodenum,CANCER
C17.1,Malignant neoplasm of jejunum,CANCER
C17.2,Malignant neoplasm of ileum,CANCER
C17.3,Malignant neoplasm of Meckel's diverticulum,CANCER
C17.8,Overlapping malignant lesion of small intestine,CANCER
C17.9,"Malignant neoplasm of small intestine, unspecified",CANCER
C18.0,Malignant neoplasm of caecum,CANCER
C18.1,Malignant neoplasm of appendix,CANCER
C18.2,Malignant neoplasm of ascending colon,CANCER
C18.3,Malignant neoplasm of hepatic flexure,CANCER
C18.4,Malignant neoplasm of transverse colon,CANCER
C18.5,Malignant neoplasm of splenic flexure,CANCER
C18.6,Malignant neoplasm of descending colon,CANCER
C18.7,Malignant neoplasm of sigmoid colon,CANCER
C18.8,Overlapping malignant lesion of colon,CANCER
C18.9,"Malignant neoplasm of colon, part unspecified",CANCER
C19.,Malignant neoplasm of rectosigmoid junction,CANCER
C20.,Malignant neoplasm of rectum,CANCER
C21.0,"Malignant neoplasm of anus, unspecified",CANCER
C21.1,Malignant neoplasm of anal canal,CANCER
C21.2,Malignant neoplasm of cloacogenic zone,CANCER
C21.8,"Overlapping malignant lesion of rectum, anus and anal canal",CANCER
C22.0,Liver cell carcinoma,CANCER
C22.1,Intrahepatic bile duct carcinoma,CANCER
C22.2,Hepatoblastoma,CANCER
C22.3,Angiosarcoma of liver,CANCER
C22.4,Other sarcomas of liver,CANCER
C22.7,Other specified carcinomas of liver,CANCER
C22.9,"Malignant neoplasm of liver, unspecified",CANCER
C23.,Malignant neoplasm of gallbladder,CANCER
C24.0,Malignant neoplasm of extrahepatic bile duct,CANCER
C24.1,Malignant neoplasm of ampulla of Vater,CANCER
C24.8,Overlapping malignant lesion of biliary tract,CANCER
C24.9,"Malignant neoplasm of biliary tract, unspecified",CANCER
C25.0,Malignant neoplasm of head of pancreas,CANCER
C25.1,Malignant neoplasm of body of pancreas,CANCER
C25.2,Malignant neoplasm of tail of pancreas,CANCER
C25.3,Malignant neoplasm of pancreatic duct,CANCER
C25.4,Malignant neoplasm of endocrine pancreas,CANCER
C25.7,Malignant neoplasm of other parts of pancreas,CANCER
C25.8,Overlapping malignant lesion of pancreas,CANCER
C25.9,"Malignant neoplasm of pancreas, part unspecified",CANCER
C26.0,"Malignant neoplasm of intestinal tract, part unspecified",CANCER
C26.1,Malignant neoplasm of spleen,CANCER
C26.8,Overlapping malignant lesion of digestive system,CANCER
C26.9,Malignant neoplasm of ill-defined sites within the digestive system,CANCER
C30.0,Malignant neoplasm of nasal cavity,CANCER
C30.1,Malignant neoplasm of middle ear,CANCER
C31.0,Malignant neoplasm of maxillary sinus,CANCER
C31.1,Malignant neoplasm of ethmoidal sinus,CANCER
C31.2,Malignant neoplasm of frontal sinus,CANCER
C31.3,Malignant neoplasm of sphenoidal sinus,CANCER
C31.8,Overlapping malignant lesion of accessory sinuses,CANCER
C31.9,"Malignant neoplasm of accessory sinus, unspecified",CANCER
C32.0,Malignant neoplasm of glottis,CANCER
C32.1,Malignant neoplasm of supraglottis,CANCER
C32.2,Malignant neoplasm of subglottis,CANCER
C32.3,Malignant neoplasm of laryngeal cartilage,CANCER
C32.8,Overlapping malignant lesion of larynx,CANCER
C32.9,"Malignant neoplasm of larynx, unspecified",CANCER
C33.,Malignant neoplasm of trachea,CANCER
C34.0,Malignant neoplasm of main bronchus,CANCER
C34.1,"Malignant neoplasm of upper lobe, bronchus or lung",CANCER
C34.2,"Malignant neoplasm of middle lobe, bronchus or lung",CANCER
C34.3,"Malignant neoplasm of lower lobe, bronchus or lung",CANCER
C34.8,Overlapping malignant lesion of bronchus and lung,CANCER
C34.9,"Malignant neoplasm of bronchus or lung, unspecified",CANCER
C37.,Malignant neoplasm of thymus,CANCER
C38.0,Malignant neoplasm of heart,CANCER
C38.1,Malignant neoplasm of anterior mediastinum,CANCER
C38.2,Malignant neoplasm of posterior mediastinum,CANCER
C38.3,"Malignant neoplasm of mediastinum, part unspecified",CANCER
C38.4,Malignant neoplasm of pleura,CANCER
C38.8,"Overlapping malignant lesion of heart, mediastinum and pleura",CANCER
C39.0,"Malignant neoplasm of upper respiratory tract, part unspecified",CANCER
C39.8,Overlapping malignant lesion of respiratory and intrathoracic organs,CANCER
C39.9,Malignant neoplasm of ill-defined sites within the respiratory system,CANCER
C40.0,Malignant neoplasm of scapula and long bones of upper limb,CANCER
C40.1,Malignant neoplasm of short bones of upper limb,CANCER
C40.2,Malignant neoplasm of long bones of lower limb,CANCER
C40.3,Malignant neoplasm of short bones of lower limb,CANCER
C40.8,Overlapping malignant lesion of bone and articular cartilage of limbs,CANCER
C40.9,"Malignant neoplasm of bone and articular cartilage of limb, unspecified",CANCER
C41.01,Malignant neoplasm of craniofacial bones,CANCER
C41.02,Malignant neoplasm of maxillofacial bones,CANCER
C41.1,Malignant neoplasm of mandible,CANCER
C41.2,Malignant neoplasm of vertebral column,CANCER
C41.3,"Malignant neoplasm of ribs, sternum and clavicle",CANCER
C41.4,"Malignant neoplasm of pelvic bones, sacrum and coccyx",CANCER
C41.8,Overlapping malignant lesion of bone and articular cartilage,CANCER
C41.9,"Malignant neoplasm of bone and articular cartilage, unspecified",CANCER
C43.0,Malignant melanoma of lip,CANCER
C43.1,"Malignant melanoma of eyelid, including canthus",CANCER
C43.2,Malignant melanoma of ear and external auricular canal,CANCER
C43.3,Malignant melanoma of other and unspecified parts of face,CANCER
C43.4,Malignant melanoma of scalp and neck,CANCER
C43.5,Malignant melanoma of trunk,CANCER
C43.6,"Malignant melanoma of upper limb, including shoulder",CANCER
C43.7,"Malignant melanoma of lower limb, including hip",CANCER
C43.8,Overlapping malignant melanoma of skin,CANCER
C43.9,"Malignant melanoma of skin, unspecified",CANCER
C45.0,Mesothelioma of pleura,CANCER
C45.1,Mesothelioma of peritoneum,CANCER
C45.2,Mesothelioma of pericardium,CANCER
C45.7,Mesothelioma of other sites,CANCER
C45.9,"Mesothelioma, unspecified",CANCER
C46.,Kaposi sarcoma,CANCER
C46.0,Kaposi sarcoma of skin,CANCER
C46.1,Kaposi sarcoma of soft tissue,CANCER
C46.2,Kaposi sarcoma of palate,CANCER
C46.3,Kaposi sarcoma of lymph nodes,CANCER
C46.7,Kaposi sarcoma of other sites,CANCER
C46.8,Kaposi sarcoma of multiple organs,CANCER
C46.9,"Kaposi sarcoma, unspecified",CANCER
C47.0,"Malignant neoplasm of peripheral nerves of head, face and neck",CANCER
C47.1,"Malignant neoplasm of peripheral nerves of upper limb, including shoulder",CANCER
