ICD_CODE,LONG_DESCRIPTION,ELIXHAUSER_GROUP
B18.0,Chronic viral hepatitis B with delta-agent,LIVER_DISEASE
B18.1,Chronic viral hepatitis B without delta-agent,LIVER_DISEASE
B18.2,Chronic viral hepatitis C,LIVER_DISEASE
B18.8,Other chronic viral hepatitis,LIVER_DISEASE
B18.9,"Chronic viral hepatitis, unspecified",LIVER_DISEASE
B20.,Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases,HIV_AIDS
B21.,Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms,HIV_AIDS
B22.,Human immunodeficiency virus [HIV] disease resulting in other specified diseases,HIV_AIDS
B24.,Unspecified human immunodeficiency virus [HIV] disease,HIV_AIDS
C00.0,Malignant neoplasm of external upper lip,SOLID_TUMOR_WITHOUT_METASTASIS
C00.1,Malignant neoplasm of external lower lip,SOLID_TUMOR_WITHOUT_METASTASIS
C00.2,"Malignant neoplasm of external lip, unspecified",SOLID_TUMOR_WITHOUT_METASTASIS
C00.3,"Malignant neoplasm of upper lip, inner aspect",SOLID_TUMOR_WITHOUT_METASTASIS
C00.4,"Malignant neoplasm of lower lip, inner aspect",SOLID_TUMOR_WITHOUT_METASTASIS
C00.5,"Malignant neoplasm of lip, unspecified, inner aspect",SOLID_TUMOR_WITHOUT_METASTASIS
C00.6,Malignant neoplasm of commissure of lip,SOLID_TUMOR_WITHOUT_METASTASIS
C00.8,Overlapping malignant lesion of lip,SOLID_TUMOR_WITHOUT_METASTASIS
C00.9,"Malignant neoplasm of lip, unspecified",SOLID_TUMOR_WITHOUT_METASTASIS
C01.,Malignant neoplasm of base of tongue,SOLID_TUMOR_WITHOUT_METASTASIS
C02.0,Malignant neoplasm of dorsal surface of tongue,SOLID_TUMOR_WITHOUT_METASTASIS
C02.1,Malignant neoplasm of border of tongue,SOLID_TUMOR_WITHOUT_METASTASIS
C02.2,Malignant neoplasm of ventral surface of tongue,SOLID_TUMOR_WITHOUT_METASTASIS
C02.3,"Malignant neoplasm of anterior two-thirds of tongue, part unspecified",SOLID_TUMOR_WITHOUT_METASTASIS
